MOVIES,IMDB-RATING,NUMBER OF LIKES,NUMBER OF DOWNLOADS,IMDb Link,720p torrent,1080p torrent
One Last Thing (2018),5.8,5,"23,432",https://www.imdb.com/title/tt5327410/,https://yts.am/torrent/download/4B68EF67FFF852998D761615B7EBCF92FD0D5596,https://yts.am/torrent/download/95E1145D3109D200654A12BE8835F8E1D5001208
,,,,,,
Happy Birthday Hannah (2018),4.1,4,"15,049",https://www.imdb.com/title/tt9097546/,https://yts.am/torrent/download/89E526658565A3D73F3B15099F9D13106693FD0C,https://yts.am/torrent/download/15D5ED691599036A846561DAFEB7C7BA4D8D37E1
,,,,,,
Fight the Good Fight (2017),5.8,3,"17,776",https://www.imdb.com/title/tt5780484/,https://yts.am/torrent/download/FE5FDAB359ED6BA7D9405C543F4E625102D31CEC,https://yts.am/torrent/download/891C48EFB87D9566AD35687B098A445AA5F21B23
,,,,,,
Gloves Off (2017),6.6,3,"18,988",https://www.imdb.com/title/tt4851570/,https://yts.am/torrent/download/485C6165A1462928022F8354F5356BDEAC54F8E7,https://yts.am/torrent/download/ECEB5BE83287488228191110E0EBDF4DCB31AE2D
,,,,,,
Elliot the Littlest Reindeer (2018),5.4,7,"39,491",https://www.imdb.com/title/tt4177856/,https://yts.am/torrent/download/47BD0FE3B291A65C0739808FA174DC56ACF2F7C8,https://yts.am/torrent/download/C4746AF822385E8F98CE1F1CCF436E5CB1B48C7C
,,,,,,
Ghost of Camp Blood (2018),2.8,1,"10,504",https://www.imdb.com/title/tt8074328/,https://yts.am/torrent/download/AFA1F57D584164029C283E8432EDD178428CC70A,https://yts.am/torrent/download/34D31E3D1C86E442C263146729A19EFC36C88077
,,,,,,
Dublin Oldschool (2018),6.5,6,"23,331",https://www.imdb.com/title/tt6406848/,https://yts.am/torrent/download/E1A701244F5914F364A0424B90F0C5C116D9DF9F,https://yts.am/torrent/download/8075B3393B237BFEA4F3EC979E831244F527F0FE
,,,,,,
DriverX (2017),5.7,10,"37,572",https://www.imdb.com/title/tt4952044/,https://yts.am/torrent/download/4603D790CC1464B9F6DC0DF3C9B0DDB561B9D6C4,https://yts.am/torrent/download/860F54F236FF891D4E636AA407BB75A7797DDA50
,,,,,,
Damo & Ivor: The Movie (2018),5.4,7,"16,968",https://www.imdb.com/title/tt7406186/,https://yts.am/torrent/download/369FB0BFD7FB5DE49AE63C2290E7331F7962A803,https://yts.am/torrent/download/D30D9C42DAC15A371E1F8F57FD96EF2298B9C2D6
,,,,,,
Change in the Air (2018),5.1,5,"12,524",https://www.imdb.com/title/tt5013782/,https://yts.am/torrent/download/CCFF1A4FC754E88FE653D9650BBA5B7A51177B14,https://yts.am/torrent/download/2C88B28821DDEE6E1D5B554ACFBA5BBAE6CE7D67
,,,,,,
Dreams I Never Had (2018),5.7,3,"13,534",https://www.imdb.com/title/tt5478918/,https://yts.am/torrent/download/BF0045093700FECF05A58B456BFA7E7C59D2F008,https://yts.am/torrent/download/F7293FA8275E3920D3D9B792647425E5CFA7C022
,,,,,,
Breaking Brooklyn (2018),5.2,4,"23,432",https://www.imdb.com/title/tt4908174/,https://yts.am/torrent/download/8C1CB86E65CCB59D9851F45DAD6166ACDC6B05E4,https://yts.am/torrent/download/60DDE4CE67A9BCDF0A17A35D73493B69E3DCD52B
,,,,,,
Blood Brother (2018),5,11,"58,075",https://www.imdb.com/title/tt5246902/,https://yts.am/torrent/download/4409D1CFA474D74755C6FBABC6D4152DEACC3F8A,https://yts.am/torrent/download/E1E0BE6C8A7596F9ED6370DD17B56D8707DEA7A7
,,,,,,
Brampton's Own (2018),5.2,3,"14,241",https://www.imdb.com/title/tt6185692/,https://yts.am/torrent/download/F1F8FE97871C58F39DCD46F4ACAD5024FFD0904A,https://yts.am/torrent/download/785B2342742D6EF87469DD5C2BCF2246AB84B243
,,,,,,
A Christmas Prince: The Royal Wedding (2018),5.1,13,"36,158",https://www.imdb.com/title/tt8709036/,https://yts.am/torrent/download/3B8B655CB50343BD56D8F04D570D76883C11DEBC,https://yts.am/torrent/download/D57CC434EC56A644603290976D5D967B1B330E63
,,,,,,
All Square (2018),5.8,6,"16,766",https://www.imdb.com/title/tt6927880/,https://yts.am/torrent/download/A10B8E38E59F846D7716691CF419E168AF864671,https://yts.am/torrent/download/920FEFE264E1BF548595CA5867B607BCF841AE7C
,,,,,,
Brewster McCloud (1970),7,7,"8,383",https://www.imdb.com/title/tt0065492/,https://yts.am/torrent/download/48EBAA55D13B2EEB90015EBBA09E3ECDF01C5A64,https://yts.am/torrent/download/8D659E0D039362967B38A13799F98D640CAF98A6
,,,,,,
Smallfoot (2018),6.7,143,"7,57,197",https://www.imdb.com/title/tt6182908/,https://yts.am/torrent/download/A4A0BACBDA506D4A512126B82075263EE15D1FBD,https://yts.am/torrent/download/A0F6F05082333A20FF66253F700A51B98F03E0BB
,,,,,,
One Good Cop (1991),5.8,5,"13,130",https://www.imdb.com/title/tt0102593/,https://yts.am/torrent/download/8B90CB06089C7FB8A0895F02A14514ED02B01C92,https://yts.am/torrent/download/E19F9796CCE095E2A36617684FCD9C5B7B8A82C2
,,,,,,
The Night Stalker (1972),7.8,6,"13,332",https://www.imdb.com/title/tt0067490/,https://yts.am/torrent/download/ABEAA895E3658A2F4CC16EF445B5F0E3F146CC2E,https://yts.am/torrent/download/65F11DE1AA60160FFE4EC8C165BFEBACA6F35355
,,,,,,
The Magician (1958),7.7,8,"10,302",https://www.imdb.com/title/tt0051365/,https://yts.am/torrent/download/ECFE6E42092ADF3E4DDEAD08CF982C9E524716E4,https://yts.am/torrent/download/0CEBDBE64F29F1558938349338A5B6D09DF8F1F0
,,,,,,
The Wasp Woman (1959),4.6,4,"6,262",https://www.imdb.com/title/tt0054462/,https://yts.am/torrent/download/4BA48DDE655DD28033DFA0A5876EEBF85C1DBF87,https://yts.am/torrent/download/950BF34F14876341FA18FC967FF2C9F5EA228291
,,,,,,
The Legend of Zu (2018),4.2,9,"32,219",https://www.imdb.com/title/tt8586880/,https://yts.am/torrent/download/8C8DB2D4B002A5032F335DD560AB697EED62DA25,https://yts.am/torrent/download/6AD825BFFB64BC5CD226C50B8DD36F1D82BCF470
,,,,,,
The Looming Storm (2017),6.5,8,"19,089",https://www.imdb.com/title/tt7649320/,https://yts.am/torrent/download/0355728965C4E926DB647396DC119AF81234544A,https://yts.am/torrent/download/A3AB2C8BEC2FCBE58BDCBDE76BB54D13162C7DEA
,,,,,,
The Invisible Man Returns (1940),6.5,3,"7,676",https://www.imdb.com/title/tt0032635/,https://yts.am/torrent/download/56816A9E1A60B7D8042462211959A253376E2363,https://yts.am/torrent/download/B82DB6BA37B3B4B97448720108F14C419CDA1EDA
,,,,,,
The Immortal Wars (2018),1.9,10,"46,965",https://www.imdb.com/title/tt5259598/,https://yts.am/torrent/download/688DD040117F6CAFA229032E951605313EF347E5,https://yts.am/torrent/download/0250B311DB08806DE80D5D4E8F4C122E4C8AA89C
,,,,,,
The Fortress (2017),7,16,"38,683",https://www.imdb.com/title/tt7160176/,https://yts.am/torrent/download/5CB64F3C17F40F5AFBA50AA40821F5C4192B71CE,https://yts.am/torrent/download/D31BEAD696C17FA1703F7787ED58FBD3BE7A39F7
,,,,,,
Summer with Monika (1953),7.6,15,"24,442",https://www.imdb.com/title/tt0046345/,https://yts.am/torrent/download/BCD68ED135A9A37900FE944AE03F7CB67E87C82A,https://yts.am/torrent/download/D3191643C97C7B452A5A5BDDE03D5366D80EFB53
,,,,,,
The Bill Murray Stories: Life Lessons Learned from a Mythical Man (2018),7.2,8,"23,735",https://www.imdb.com/title/tt7329810/,https://yts.am/torrent/download/48FFD228E6D6D44CB503119BEABF2B2528D54D33,https://yts.am/torrent/download/AAF69305DE42948967A427E62C03612E5EDF09CF
,,,,,,
Soldier Blue (1970),6.9,7,"18,988",https://www.imdb.com/title/tt0066390/,https://yts.am/torrent/download/562E68D4C4C36AA613DE3C64EE83EA03B597CC94,https://yts.am/torrent/download/38D6F605ECDC7F64DE9D98BE1D50D308A7FDD78F
,,,,,,
Saludos Amigos (1942),6.2,4,"8,585",https://www.imdb.com/title/tt0036326/,https://yts.am/torrent/download/86A7A57C57CBBAE40196CFB41CD82566D4468D4A,https://yts.am/torrent/download/44EFFE9E87AE857D95A85C55A9770AC375730373
,,,,,,
Persona (1966),8.1,10,"14,342",https://www.imdb.com/title/tt0060827/,https://yts.am/torrent/download/C924F5519D7ACA056402EBAAEA78A85694205001,https://yts.am/torrent/download/CA47795643D504E8BD0FE1F999198A24A4FC2483
,,,,,,
"Love, Cecil (2017)",6.2,3,"7,171",https://www.imdb.com/title/tt5275884/,https://yts.am/torrent/download/FC74DD1FB29A85A04C1B6AE305DC3DB689C62FAE,https://yts.am/torrent/download/48FE29A02ABF2699B2EE28D43556E3DFB9DFEB7D
,,,,,,
No. 1 Chung Ying Street (2018),5.4,4,"7,070",https://www.imdb.com/title/tt7473032/,https://yts.am/torrent/download/19EC4E8CE91F2FA0FF4B764404C596962B13B7B0,https://yts.am/torrent/download/BF6A52FD3B90078A517CBCCE749B06E6440AC0DB
,,,,,,
Houdini (1953),6.9,2,"10,504",https://www.imdb.com/title/tt0045886/,https://yts.am/torrent/download/81B86A3AFE517BA2468431BF0D1692AD29D5EF9C,https://yts.am/torrent/download/8053E0012FD7E728CC5A7BF74AA8ED354DFF2FA0
,,,,,,
Night of the Lepus (1972),4.1,1,"5,555",https://www.imdb.com/title/tt0069005/,https://yts.am/torrent/download/0776F9BF30D7E6E57590A9F132A44D8DB181D654,https://yts.am/torrent/download/CCB6BF628F175DE6B7BD6C1567D3CDE289377E96
,,,,,,
Bud Abbott Lou Costello Meet the Invisible Man (1951),7,1,"10,908",https://www.imdb.com/title/tt0043255/,https://yts.am/torrent/download/4C9ABDDF3CCC6DBFC062A46F8E6F4B73B326A988,https://yts.am/torrent/download/93302FAC06FA1970BE8D81561C656624C2D4012F
,,,,,,
Garo: Fang of God (2017),6,12,"25,856",https://www.imdb.com/title/tt7117354/,https://yts.am/torrent/download/2263C71A3DFE8C5E37C1C231E5A09826855B4467,https://yts.am/torrent/download/733C461CB5FB8909BB1A64ACFDD2DE9A00237C76
,,,,,,
The Woman in Red (1984),5.9,6,"15,150",https://www.imdb.com/title/tt0088414/,https://yts.am/torrent/download/A4A70726E66850DFDB362E15422A01DD9D200A73,https://yts.am/torrent/download/E7162CD65026C7D393767AA90F5D1F0663F22415
,,,,,,
The Devil and Daniel Johnston (2005),8,2,"9,191",https://www.imdb.com/title/tt0436231/,https://yts.am/torrent/download/A1EAEDC4E888B35ED7C7106D2A42165F6EF7F435,https://yts.am/torrent/download/C5A311E94D9C0E72E66C89FA9657ACFC6DC8ED36
,,,,,,
Wild Strawberries (1957),8.2,8,"12,322",https://www.imdb.com/title/tt0050986/,https://yts.am/torrent/download/7982581CAA19204A1749D97A8C3D5F95A77D8EF0,https://yts.am/torrent/download/99743BDDBDD64BBB9A81872B42573002C94A1627
,,,,,,
Werewolves of the Third Reich (2017),2.8,3,"14,948",https://www.imdb.com/title/tt6359082/,https://yts.am/torrent/download/51E35D0C28D38DB338B49263193437D7C841340B,https://yts.am/torrent/download/D3FEDF359A8BF230476DA69CF966B9F5666D216D
,,,,,,
Pin Cushion (2017),6.3,5,"14,948",https://www.imdb.com/title/tt6190348/,https://yts.am/torrent/download/482FC4BBCA1E9844AAD4FFE438E0E9975FDCEE2E,https://yts.am/torrent/download/0E9ADCF4C59D377459E57FE5A3888D4EC3E6EF5E
,,,,,,
Prowler (2018),5.3,5,"28,280",https://www.imdb.com/title/tt8043038/,https://yts.am/torrent/download/D5960C65C6557B736EC76B42920B0470146F92C2,https://yts.am/torrent/download/988F4F15D92CFA84F88F2F76FB726A8A3F8B321B
,,,,,,
[Cargo] (2018),3.5,6,"64,236",https://www.imdb.com/title/tt6068554/,https://yts.am/torrent/download/1AE30BD002BC87C9CE637819C98C68D00ACC0B5D,https://yts.am/torrent/download/AD2007C2814704F888BBDBEEEF1ABD6F36A3B073
,,,,,,
Mrs. Claus (2018),4.3,16,"54,944",https://www.imdb.com/title/tt6169934/,https://yts.am/torrent/download/6482B7F7C561D264C52D8E48E6236780A16A292E,https://yts.am/torrent/download/117E2B1D52FDE59D6B9DD2656F91A6B4F15736B6
,,,,,,
White Line Fever (1975),6.2,3,"8,585",https://www.imdb.com/title/tt0073896/,https://yts.am/torrent/download/A7A1488417E1E3C68DAED05AAC0283CE252C6018,https://yts.am/torrent/download/E660D812B096ACF7B0499AFCC6ABACA48D633429
,,,,,,
Mail Order Monster (2018),4.4,7,"27,876",https://www.imdb.com/title/tt4694366/,https://yts.am/torrent/download/728E0A59C086BF7B3701DC34FECF509F39531A33,https://yts.am/torrent/download/0AF252891BB93A7162A62373A45A3F857B56A43C
,,,,,,
Cactus Flower (1969),7.2,3,"10,403",https://www.imdb.com/title/tt0064117/,https://yts.am/torrent/download/7F6B0E57C60A60428CF9CD34FC718B29538D7937,https://yts.am/torrent/download/33FBED127A00A4E5DA30AB8FFE22D344719EA126
,,,,,,
Transition (2018),5.3,6,"23,533",https://www.imdb.com/title/tt5212488/,https://yts.am/torrent/download/71116C18892584473DB07126639CDB85F37CA26C,https://yts.am/torrent/download/DBF26212AF14A67C910B0BBCA76002DF9704564C
,,,,,,
The Same Circles (2017),3.9,2,"6,767",https://www.imdb.com/title/tt6943908/,https://yts.am/torrent/download/7CB6B81FD1CB51C2F2102622D52FA1A325AD01A1,https://yts.am/torrent/download/BE17223C4A003BD39A9BC01067BECD94D44243F5
,,,,,,
Age of Consent (1969),6.5,5,"20,705",https://www.imdb.com/title/tt0063991/,https://yts.am/torrent/download/86DDAF29A74917644225BF9F237142ADAB583390,https://yts.am/torrent/download/FAB38FE19D25B4DFB1F2543E79ABDBC0EA58DCFF
,,,,,,
Megalodon (2018),3.2,17,"72,821",https://www.imdb.com/title/tt8235660/,https://yts.am/torrent/download/EE97023018514E35C9428E6461A4DB77CE9964F2,https://yts.am/torrent/download/70192D59B5C63B3E9BCC8576566F7D4370079385
,,,,,,
The Magnificent Ambersons (1942),7.9,8,"9,797",https://www.imdb.com/title/tt0035015/,https://yts.am/torrent/download/F948695F4E947E17172B0B82E7897C5463487065,https://yts.am/torrent/download/D25C2E4FBDD5D4EB96ABDE8FC4E101495A1BB1FB
,,,,,,
Night Zero (2018),3.4,4,"21,816",https://www.imdb.com/title/tt7169100/,https://yts.am/torrent/download/FEE3D112A3CF66F9D26853CCBD9C0A0A2EE42957,https://yts.am/torrent/download/B81DD41F8E2349CCF16E84F2FEE8D72E185FF9EB
,,,,,,
Somnium (2018),0,8,"13,635",https://www.imdb.com/title/tt8484038/,https://yts.am/torrent/download/E8D5C55ED6B82EF5C45DC75D9E2CCE523E26634C,https://yts.am/torrent/download/AEA512BAC72AD9A8BC834B540A39EB43851900E0
,,,,,,
Ambition's Debt (2017),4.3,4,"8,484",https://www.imdb.com/title/tt4578000/,https://yts.am/torrent/download/68AC8442F8B744A660E673EBE6944AC3CA8CFE2B,https://yts.am/torrent/download/4B98A53559A53DC40E78FD29F3CCF00CF9116F05
,,,,,,
Ronnie Coleman: The King (2018),7.1,14,"25,553",https://www.imdb.com/title/tt7217214/,https://yts.am/torrent/download/A9885D7217A5EC99B601A4D66C357560ABB43D9D,https://yts.am/torrent/download/1637AB831B35464671271F7F25061E19DD210666
,,,,,,
The Empty Hands (2017),6.4,10,"18,887",https://www.imdb.com/title/tt7599050/,https://yts.am/torrent/download/955EA6F3B26049C785787A35AF33858F876D9358,https://yts.am/torrent/download/AE58E112FF29CA4D18506D4BBD2E2A1E1B2DE8BB
,,,,,,
Madame (2017),6.1,12,"27,977",https://www.imdb.com/title/tt6045466/,https://yts.am/torrent/download/A4B441AB403899A91180D408FE1467C246CCA7F4,https://yts.am/torrent/download/30C94A095896D35600CAA8DD32FB9E2D4D23EC4E
,,,,,,
Unbroken: Path to Redemption (2018),5.5,16,"33,936",https://www.imdb.com/title/tt7339792/,https://yts.am/torrent/download/75857CFA160B0F7682F8C6CC54C98AF7AE615155,https://yts.am/torrent/download/5F2A323B9571A9650E3B07A7AE081BFD22EB3B5B
,,,,,,
The House with a Clock in Its Walls (2018),6.1,83,"3,75,619",https://www.imdb.com/title/tt2119543/,https://yts.am/torrent/download/1615967F6C26C846F6148E4C8483935AE8079428,https://yts.am/torrent/download/E2CD16074A7C8FB08FD02B384AA324CE2DED81BD
,,,,,,
Obey (2018),5.5,8,"31,512",https://www.imdb.com/title/tt6145764/,https://yts.am/torrent/download/F226E5A3A260DD1ED57577D81BB194E4EB8A805A,https://yts.am/torrent/download/C5E599983BDC75FC58245207EB9B1A8F391991F5
,,,,,,
Laugh or Die (2018),7.1,7,"24,038",https://www.imdb.com/title/tt7220696/,https://yts.am/torrent/download/C707D3EEC09EB1FB7BF5B4CD4D8CC88D361BC834,https://yts.am/torrent/download/764B541B409F950EAA796ECB16DA4DBA37E46C05
,,,,,,
"Bright Lights, Big City (1988)",5.7,7,"8,383",https://www.imdb.com/title/tt0094799/,https://yts.am/torrent/download/2373E3DAD31207D13B3350AEA2571A0C85E243B5,https://yts.am/torrent/download/DE72A7858E0D8A2FCF484B2138511118AA1864A0
,,,,,,
Johnny Be Good (1988),4.5,4,"12,322",https://www.imdb.com/title/tt0095409/,https://yts.am/torrent/download/D25F4B17F449A72B262DB0437CE07B71CBB0747D,https://yts.am/torrent/download/B029748DF656A8021EB01D0DE5FCEFDB240ABFE3
,,,,,,
Dear Zindagi (2016),7.7,28,"36,259",https://www.imdb.com/title/tt5946128/,https://yts.am/torrent/download/2599434D754931279F15B757EDB337A8BDD81175,https://yts.am/torrent/download/F1D30AFB8A623D1F258640301823F07AD05D3B78
,,,,,,
See No Evil 2 (2014),4.8,10,"21,109",https://www.imdb.com/title/tt3106120/,https://yts.am/torrent/download/11F2B01BB46F4A23256B8D50B4E54C842E3D0720,https://yts.am/torrent/download/25A6B5B77BB1287A0026A906772920E4884C73EA
,,,,,,
Private School (1983),5.2,10,"21,715",https://www.imdb.com/title/tt0086143/,https://yts.am/torrent/download/293E2B6E893E363488F075C1A5A3204578ABF3D5,https://yts.am/torrent/download/61F0980BB2601DACAD99E9C6A62334A46D70051A
,,,,,,
The Elephant Man (1980),8.2,13,"18,281",https://www.imdb.com/title/tt0080678/,https://yts.am/torrent/download/83A1AE7DFB68D644317D8D35CB27AA32DB845AB5,https://yts.am/torrent/download/F12B338470FBDD3AFAF462813EE0145EFF3B4DF6
,,,,,,
Lady in White (1988),6.7,7,"9,191",https://www.imdb.com/title/tt0095484/,https://yts.am/torrent/download/FA25C940D22364FDE29A61AECF80E934413A6D38,https://yts.am/torrent/download/BF9CE73B5883096E8B1E052204AD57C491D8721D
,,,,,,
The Associate (1996),6.1,4,"16,564",https://www.imdb.com/title/tt0115580/,https://yts.am/torrent/download/BCA51AB3C6DD083D2A553C86A779C7AB6E740E20,https://yts.am/torrent/download/CBC8B0CD070A6D14DA7E9B6E3B84BA4CABB11ED7
,,,,,,
Kiss of Death (1947),7.5,5,"7,878",https://www.imdb.com/title/tt0039536/,https://yts.am/torrent/download/7AFA3E4415884351E925D8E04344575ED7DFD2F7,https://yts.am/torrent/download/EBCE0E79879875088F120AACE4D0FF578484290E
,,,,,,
Rock 'n' Roll High School (1979),6.8,6,"11,918",https://www.imdb.com/title/tt0079813/,https://yts.am/torrent/download/5DDBBBCF4A212ADFF20BB4878C7B119C22A4E786,https://yts.am/torrent/download/95EB83B7BE048AA64283E86F1B7D9FD050273CB5
,,,,,,
Non-Stop (1996),7.1,3,"9,090",https://www.imdb.com/title/tt0116015/,https://yts.am/torrent/download/587A3B08B1DE835ECB70CDB1C427751019794DC9,https://yts.am/torrent/download/A9FB40D3123DB393E2225FF2348687C210087FF6
,,,,,,
The Dawn Wall (2017),8.3,11,"56,762",https://www.imdb.com/title/tt7286916/,https://yts.am/torrent/download/B3DFCBE0CF24175288BFBE40A583A25CC0D45860,https://yts.am/torrent/download/F3FDC930F806B28C4BD370E6BFB71F87933EC28F
,,,,,,
Riten (1969),7.3,7,"7,373",https://www.imdb.com/title/tt0064897/,https://yts.am/torrent/download/1F2B3C180F767D07DDDE19F40A1B425DA5EDC6A8,https://yts.am/torrent/download/8F3CEA850ED27F42227BACE35483DCCD1920B185
,,,,,,
Sawdust and Tinsel (1953),7.7,6,"7,575",https://www.imdb.com/title/tt0045848/,https://yts.am/torrent/download/92745A254308134877408EB764E70CD5C309E301,https://yts.am/torrent/download/6F5639CF64E335CC8E89E10310D133E40A39F15E
,,,,,,
Nell (1994),6.5,8,"15,150",https://www.imdb.com/title/tt0110638/,https://yts.am/torrent/download/C31ECA88BBDE7E69A78A93F23CC66DB439371C43,https://yts.am/torrent/download/C64C15C23809F5E23617D097551E6473988314C6
,,,,,,
The Nun (2018),5.5,272,"10,43,027",https://www.imdb.com/title/tt5814060/,https://yts.am/torrent/download/731E5FC71FCEA6620862741B5C86A35AAD211672,https://yts.am/torrent/download/E67AB3E10CEF7E39DB8523BC9E4FA29C6F831786
,,,,,,
Cocktail (2012),6.2,10,"24,341",https://www.imdb.com/title/tt2168910/,https://yts.am/torrent/download/45CCF6B91EA18A32E4654F6ECE023B6E7C7CAD4A,https://yts.am/torrent/download/F90DB01990B1A3478F83BCC3DB58B6F2099C1B01
,,,,,,
Travels of Mr. Kleks (1986),6.7,5,"5,151",https://www.imdb.com/title/tt0091772/,https://yts.am/torrent/download/37527C53AE1590FC90A967D4FE4DA4797F67F021,https://yts.am/torrent/download/7667492C6CED2396174D0EA656DF5F2417A22882
,,,,,,
The Unnamable (1988),4.9,4,"9,999",https://www.imdb.com/title/tt0096344/,https://yts.am/torrent/download/0F6C7CDE8290D046BEBC26DE71CFE79AD68F25D5,https://yts.am/torrent/download/D4D151233367DC5F54B398C195F4A4FB8D158A45
,,,,,,
Mister Blot's Academy (1984),6.9,5,"5,858",https://www.imdb.com/title/tt0086863/,https://yts.am/torrent/download/C8F01FB2DAFFF54ADEB908904BC0F5307BE56D02,https://yts.am/torrent/download/12CD640551099E93B995C1A7C37E823D60B29657
,,,,,,
The Nth Ward (2017),3.9,7,"17,069",https://www.imdb.com/title/tt3915560/,https://yts.am/torrent/download/79B9435F6B57923E7DE9F162C3D3C18C925D1C82,https://yts.am/torrent/download/A29742D9A9E5771AA0961CE4FDE43784F9FC54DE
,,,,,,
Shalako (1968),5.5,4,"9,595",https://www.imdb.com/title/tt0063592/,https://yts.am/torrent/download/C9375D5FD01A6B1C0416083A2878C45E06CDD58D,https://yts.am/torrent/download/197074FDFC184D122CF9667C0C0E2DD1BBA14249
,,,,,,
Thirst (1949),6.7,9,"8,787",https://www.imdb.com/title/tt0041998/,https://yts.am/torrent/download/D45B9AB4F1A04A4EDE92C5EBDEC018E2D38389F7,https://yts.am/torrent/download/474548F91C14B5698A63FD0D898707D3B963BC3D
,,,,,,
They Shall Not Grow Old (2018),8.7,15,"54,742",https://www.imdb.com/title/tt7905466/,https://yts.am/torrent/download/922193076F39028E02705D488B4BFE0620C5E3C1,https://yts.am/torrent/download/6882458D7023CC77BBB78F5D728FF247F63E8036
,,,,,,
Saraband (2003),7.7,8,"7,878",https://www.imdb.com/title/tt0299478/,https://yts.am/torrent/download/4254091AA7DDB9315CBFC3B00AA888326B288D8E,https://yts.am/torrent/download/49ECAB8F94F2B9EEAD4B799886356499E8F99F5B
